Group,Network,GMV
Younger,DMN,0.40732752452036236
Younger,SMN,0.3639199175316878
Younger,VIS,0.5150122215802019
Younger,CC,0.32813603772341426
Younger,SC,0.33272728227354864
Younger,AUD,0.5207800983329013
Younger,DMN,0.4438465629608632
Younger,SMN,0.4792244920525888
Younger,VIS,0.5381660336496853
Younger,CC,0.3599565547246645
Younger,SC,0.4155373672895158
Younger,AUD,0.5221883445376098
Younger,DMN,0.31440094880330016
Younger,SMN,0.30575157807330894
Younger,VIS,0.37651797003968795
Younger,CC,0.26352636003142343
Younger,SC,0.28649730380210614
Younger,AUD,0.412420013486737
Younger,DMN,0.3900966869378982
Younger,SMN,0.35981859364593877
Younger,VIS,0.46337379345839663
Younger,CC,0.31381871514832466
Younger,SC,0.3200657719790133
Younger,AUD,0.5187673133732092
Younger,DMN,0.2846163721935705
Younger,SMN,0.29375946401345604
Younger,VIS,0.40372245017476754
Younger,CC,0.2735950525577949
Younger,SC,0.27526100420139055
Younger,AUD,0.4145349735262418
Younger,DMN,0.4062711659599046
Younger,SMN,0.39116302727147784
Younger,VIS,0.49418847142445915
Younger,CC,0.3548901883721918
Younger,SC,0.35515246370976616
Younger,AUD,0.5714151233133644
Younger,DMN,0.41686799023949594
Younger,SMN,0.3652880582394022
Younger,VIS,0.4856196196392329
Younger,CC,0.3332750010213597
Younger,SC,0.36415790593383285
Younger,AUD,0.4791005467525636
Younger,DMN,0.430076308680879
Younger,SMN,0.37459860719514615
Younger,VIS,0.5102575849553551
Younger,CC,0.3872379850766529
Younger,SC,0.360126563683403
Younger,AUD,0.5115199769386137
Younger,DMN,0.35893981184947527
Younger,SMN,0.29977731745351444
Younger,VIS,0.4877282617745375
Younger,CC,0.31739888394618604
Younger,SC,0.3264061654243706
Younger,AUD,0.431830007018465
Younger,DMN,0.366410532172532
Younger,SMN,0.33810066266192335
Younger,VIS,0.48150971351247845
Younger,CC,0.348139528555132
Younger,SC,0.3246178590513842
Younger,AUD,0.45819964207182035
Younger,DMN,0.4016759810277905
Younger,SMN,0.4165352972769978
Younger,VIS,0.4948417429219592
Younger,CC,0.36313175521767044
Younger,SC,0.37653083332911486
Younger,AUD,0.5488634175724454
Younger,DMN,0.36653486681277686
Younger,SMN,0.32413088966800707
Younger,VIS,0.46645637616665675
Younger,CC,0.3228298377352
Younger,SC,0.33106181159715864
Younger,AUD,0.48364307528192346
Younger,DMN,0.3507521033816767
Younger,SMN,0.2994828016468973
Younger,VIS,0.4532163009574317
